"trial_type","trial_index","time_elapsed","internal_node_id","prolificPid","studyId","sessionId","userAgent","rt","stimulus","key_press","chosenKeyset","failureCount","testIndex","globalVolume","choices","filename","slowdown","compensation","compensationDescriptor","receiverOrientationType","azimuth","responseAzimuth","responseDelay"
"echo-presentation","56","1072200","0.0-56.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-10,-5,0,5,10","media/audio/stims/spherical_300cm_s20_c2_cd-2_matched_a5.wav","20","2","2","matched","5","10","1615"
"echo-presentation","57","1077284","0.0-57.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-10,-5,0,5,10","media/audio/stims/spherical_300cm_s20_c2_cd-2_matched_a0.wav","20","2","2","matched","0","0","3424"
"echo-presentation","58","1082312","0.0-58.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-10,-5,0,5,10","media/audio/stims/spherical_300cm_s20_c2_cd-2_matched_a-5.wav","20","2","2","matched","-5","5","3039"
"echo-presentation","59","1085547","0.0-59.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-10,-5,0,5,10","media/audio/stims/spherical_300cm_s20_c2_cd-2_matched_a10.wav","20","2","2","matched","10","10","1493"
"echo-presentation","60","1088908","0.0-60.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-10,-5,0,5,10","media/audio/stims/spherical_300cm_s20_c2_cd-2_matched_a-5.wav","20","2","2","matched","-5","-5","1927"
"echo-presentation","61","1093708","0.0-61.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-10,-5,0,5,10","media/audio/stims/spherical_300cm_s20_c2_cd-2_matched_a-10.wav","20","2","2","matched","-10","0","2629"
"echo-presentation","62","1100106","0.0-62.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-10,-5,0,5,10","media/audio/stims/spherical_300cm_s20_c2_cd-2_matched_a10.wav","20","2","2","matched","10","",""
"echo-presentation","63","1110002","0.0-63.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-10,-5,0,5,10","media/audio/stims/spherical_300cm_s20_c2_cd-2_matched_a0.wav","20","2","2","matched","0","10","2391"
"echo-presentation","64","1117660","0.0-64.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-10,-5,0,5,10","media/audio/stims/spherical_300cm_s20_c2_cd-2_matched_a-10.wav","20","2","2","matched","-10","5","4313"
"echo-presentation","65","1122818","0.0-65.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","-10,-5,0,5,10","media/audio/stims/spherical_300cm_s20_c2_cd-2_matched_a5.wav","20","2","2","matched","5","-5","2281"
"block-bookend","66","1130149","0.0-66.0","null","null","null","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15","","","","","","","","","","","","","","","",""
